comparison,array,horizon,hln_stat,p_holm,significant,better_model
LSTM vs XGBoost,array11,1,-0.6571074592237135,1.0,False,xgboost
LSTM vs XGBoost,array11,3,0.6720951753076507,1.0,False,lstm
LSTM vs XGBoost,array11,6,2.5633528961395347,0.0728425788603411,False,lstm
LSTM vs XGBoost,array12,1,-0.09137108911181532,1.0,False,xgboost
LSTM vs XGBoost,array12,3,0.5364485707398845,1.0,False,lstm
LSTM vs XGBoost,array12,6,2.6385559317991976,0.058527656169688566,False,lstm
LSTM vs XGBoost,array17,1,-0.451232233589457,1.0,False,xgboost
LSTM vs XGBoost,array17,3,0.04869944798901974,1.0,False,lstm
LSTM vs XGBoost,array17,6,3.2554455481703974,0.011424050394231668,True,lstm
CNN-LSTM vs LSTM,array11,1,1.6358378036407342,0.4078352929368916,False,cnn_lstm
CNN-LSTM vs LSTM,array11,3,-1.6941989548355443,0.36124803381793563,False,lstm
CNN-LSTM vs LSTM,array11,6,-0.6732962673258309,1.0,False,lstm
CNN-LSTM vs LSTM,array12,1,0.9080196353714552,1.0,False,cnn_lstm
CNN-LSTM vs LSTM,array12,3,-0.6574309099076683,1.0,False,lstm
CNN-LSTM vs LSTM,array12,6,-2.2970042994196884,0.13004667664962652,False,lstm
CNN-LSTM vs LSTM,array17,1,0.6052118435819223,1.0,False,cnn_lstm
CNN-LSTM vs LSTM,array17,3,-1.5408375123326994,0.7359114821770476,False,lstm
CNN-LSTM vs LSTM,array17,6,-0.6851082248123511,1.0,False,lstm
LSTM+res vs LSTM,array11,1,-2.4639256237703533,0.0689387275516701,False,lstm
LSTM+res vs LSTM,array11,3,-3.445673039037441,0.004032039432340235,True,lstm
LSTM+res vs LSTM,array11,6,-3.451225851776255,0.005643312391598972,True,lstm
LSTM+res vs LSTM,array12,1,-2.8902536475098595,0.027102411577744,True,lstm
LSTM+res vs LSTM,array12,3,-6.239824121698121,4.8770922257611464e-09,True,lstm
LSTM+res vs LSTM,array12,6,-2.0866902341484175,0.18492425004763616,False,lstm
LSTM+res vs LSTM,array17,1,-2.89624566190225,0.0227926227914357,True,lstm
LSTM+res vs LSTM,array17,3,-1.5440920966462586,0.7359114821770476,False,lstm
LSTM+res vs LSTM,array17,6,-1.8585308442711277,0.31586748831088207,False,lstm
CNN-LSTM+res vs CNN-LSTM,array11,1,-4.337951588076387,0.00014766505901098463,True,cnn_lstm
CNN-LSTM+res vs CNN-LSTM,array11,3,-4.496677484087131,7.114930405330698e-05,True,cnn_lstm
CNN-LSTM+res vs CNN-LSTM,array11,6,-3.026263879338864,0.01994484031813895,True,cnn_lstm
CNN-LSTM+res vs CNN-LSTM,array12,1,-3.0248226757051615,0.02254436180529437,True,cnn_lstm
CNN-LSTM+res vs CNN-LSTM,array12,3,-4.265309074003493,0.00014324727400903713,True,cnn_lstm
CNN-LSTM+res vs CNN-LSTM,array12,6,-3.4464701471328967,0.005168924586226428,True,cnn_lstm
CNN-LSTM+res vs CNN-LSTM,array17,1,-3.88025073241264,0.001061707720605969,True,cnn_lstm
CNN-LSTM+res vs CNN-LSTM,array17,3,-3.7607427601942893,0.0015483678704364668,True,cnn_lstm
CNN-LSTM+res vs CNN-LSTM,array17,6,-2.8885123470687395,0.03503969417130558,True,cnn_lstm
