dimension,value,n,pct
night_hours_excluded,not_stated,17,63.0
night_hours_excluded,yes,8,29.6
night_hours_excluded,no,1,3.7
night_hours_excluded,partial,1,3.7
baseline_used,own_components,17,63.0
baseline_used,other_ML,6,22.2
baseline_used,none,3,11.1
baseline_used,convex,1,3.7
skill_score_reported,no,26,96.3
skill_score_reported,yes,1,3.7
weather_source,measured,20,74.1
weather_source,not_stated,4,14.8
weather_source,NWP_forecast,1,3.7
weather_source,none,1,3.7
weather_source,reanalysis,1,3.7
split_type,not_stated,22,81.5
split_type,chronological,3,11.1
split_type,k-fold,1,3.7
split_type,rolling,1,3.7
variance_reported,no,27,100.0
code_available,not_stated,26,96.3
code_available,yes,1,3.7
leakage_flag,none,24,88.9
leakage_flag,documented,3,11.1
