array,year,first_timestamp,last_timestamp,actual_rows,expected_rows,coverage_pct,nan_pct_Active_Power,nan_pct_Global_Horizontal_Radiation,nan_pct_Diffuse_Horizontal_Radiation,nan_pct_Weather_Temperature_Celsius,nan_pct_Weather_Relative_Humidity,nan_pct_Wind_Speed,n_duplicate_timestamps,largest_gap_hours
array07_CdTe,2008,2008-09-12 05:55:00,2008-12-31 23:55:00,31758,105408,30.13,1.18,18.34,18.34,18.34,18.34,23.35,0,7.08
array07_CdTe,2009,2009-01-01 00:00:00,2009-12-31 23:55:00,105116,105120,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25
array07_CdTe,2010,2010-01-01 00:00:00,2010-12-31 23:55:00,105120,105120,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.08
array07_CdTe,2011,2011-01-01 00:00:00,2011-12-31 23:55:00,104901,105120,99.79,0.0,0.54,0.54,0.54,0.54,0.54,0,15.42
array07_CdTe,2012,2012-01-01 00:00:00,2012-12-31 23:55:00,105394,105408,99.99,0.46,0.46,0.46,0.46,0.46,0.98,0,0.42
array07_CdTe,2013,2013-01-01 00:00:00,2013-12-31 23:55:00,105076,105120,99.96,0.02,0.02,0.02,0.02,0.02,1.56,0,3.25
array07_CdTe,2014,2014-01-01 00:00:00,2014-12-31 23:55:00,105111,105120,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0,0.17
array07_CdTe,2015,2015-01-01 00:00:00,2015-12-31 23:55:00,105120,105120,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.08
array07_CdTe,2016,2016-01-01 00:00:00,2016-12-31 23:55:00,105408,105408,100.0,0.0,0.0,0.0,0.0,0.0,19.52,0,0.08
array07_CdTe,2017,2017-01-01 00:00:00,2017-12-31 23:55:00,104614,105120,99.52,0.1,0.1,0.1,0.1,0.1,100.0,0,40.83
array07_CdTe,2018,2018-01-01 00:00:00,2018-12-31 23:55:00,105120,105120,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0,0.08
array07_CdTe,2019,2019-01-01 00:00:00,2019-12-31 23:55:00,102905,105120,97.89,0.0,0.0,0.0,0.0,0.0,100.0,0,175.33
array07_CdTe,2020,2020-01-01 00:00:00,2020-12-31 23:55:00,105381,105408,99.97,0.0,0.01,0.01,0.01,0.01,100.0,0,1.17
array07_CdTe,2021,2021-01-01 00:00:00,2021-12-31 23:55:00,100541,105120,95.64,0.0,0.01,0.01,0.01,0.01,100.0,0,336.33
array07_CdTe,2022,2022-01-01 00:00:00,2022-12-31 23:55:00,102901,105120,97.89,0.01,0.01,0.01,0.01,0.01,100.0,0,115.5
array07_CdTe,2023,2023-01-01 00:00:00,2023-12-31 23:55:00,101825,105120,96.87,3.58,4.39,4.39,4.41,4.41,100.0,0,149.75
array07_CdTe,2024,2024-01-01 00:00:00,2024-12-31 23:55:00,104287,105408,98.94,15.6,16.72,16.72,16.74,16.73,100.0,0,54.42
array07_CdTe,2025,2025-01-01 00:00:00,2025-08-23 05:55:00,67410,105120,64.13,13.64,21.66,21.66,21.69,21.68,100.0,0,0.67
array11_polySi,2008,2008-09-12 05:55:00,2008-12-31 23:55:00,31758,105408,30.13,1.18,18.34,18.34,18.34,18.34,23.35,0,7.08
array11_polySi,2009,2009-01-01 00:00:00,2009-12-31 23:55:00,105116,105120,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25
array11_polySi,2010,2010-01-01 00:00:00,2010-12-31 23:55:00,105120,105120,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.08
array11_polySi,2011,2011-01-01 00:00:00,2011-12-31 23:55:00,104901,105120,99.79,0.0,0.54,0.54,0.54,0.54,0.54,0,15.42
array11_polySi,2012,2012-01-01 00:00:00,2012-12-31 23:55:00,105394,105408,99.99,0.46,0.46,0.46,0.46,0.46,0.98,0,0.42
array11_polySi,2013,2013-01-01 00:00:00,2013-12-31 23:55:00,105076,105120,99.96,0.02,0.02,0.02,0.02,0.02,1.56,0,3.25
array11_polySi,2014,2014-01-01 00:00:00,2014-12-31 23:55:00,105111,105120,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0,0.17
array11_polySi,2015,2015-01-01 00:00:00,2015-12-31 23:55:00,105120,105120,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.08
array11_polySi,2016,2016-01-01 00:00:00,2016-12-31 23:55:00,105408,105408,100.0,0.0,0.0,0.0,0.0,0.0,19.52,0,0.08
array11_polySi,2017,2017-01-01 00:00:00,2017-12-31 23:55:00,104614,105120,99.52,0.1,0.1,0.1,0.1,0.1,100.0,0,40.83
array11_polySi,2018,2018-01-01 00:00:00,2018-12-31 23:55:00,105120,105120,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0,0.08
array11_polySi,2019,2019-01-01 00:00:00,2019-12-31 23:55:00,102905,105120,97.89,0.0,0.0,0.0,0.0,0.0,100.0,0,175.33
array11_polySi,2020,2020-01-01 00:00:00,2020-12-31 23:55:00,105382,105408,99.98,0.0,0.01,0.01,0.01,0.01,100.0,0,0.92
array11_polySi,2021,2021-01-01 00:00:00,2021-12-31 23:55:00,100539,105120,95.64,0.0,0.0,0.0,0.0,0.0,100.0,0,336.33
array11_polySi,2022,2022-01-01 00:00:00,2022-12-31 23:55:00,102901,105120,97.89,0.01,0.01,0.01,0.01,0.01,100.0,0,115.5
array11_polySi,2023,2023-01-01 00:00:00,2023-12-31 23:55:00,101797,105120,96.84,4.67,3.88,3.88,3.9,3.89,100.0,0,149.75
array11_polySi,2024,2024-01-01 00:00:00,2024-12-31 23:55:00,104244,105408,98.9,17.74,16.2,16.2,16.21,16.21,100.0,0,54.42
array11_polySi,2025,2025-01-01 00:00:00,2025-08-23 05:55:00,67407,105120,64.12,15.24,21.47,21.47,21.49,21.49,100.0,0,0.67
array12_monoSi,2008,2008-09-12 05:55:00,2008-12-31 23:55:00,31758,105408,30.13,1.18,18.34,18.34,18.34,18.34,23.35,0,7.08
array12_monoSi,2009,2009-01-01 00:00:00,2009-12-31 23:55:00,105116,105120,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25
array12_monoSi,2010,2010-01-01 00:00:00,2010-12-31 23:55:00,105120,105120,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.08
array12_monoSi,2011,2011-01-01 00:00:00,2011-12-31 23:55:00,104901,105120,99.79,0.0,0.54,0.54,0.54,0.54,0.54,0,15.42
array12_monoSi,2012,2012-01-01 00:00:00,2012-12-31 23:55:00,105394,105408,99.99,0.46,0.46,0.46,0.46,0.46,0.98,0,0.42
array12_monoSi,2013,2013-01-01 00:00:00,2013-12-31 23:55:00,105076,105120,99.96,0.02,0.02,0.02,0.02,0.02,1.56,0,3.25
array12_monoSi,2014,2014-01-01 00:00:00,2014-12-31 23:55:00,105111,105120,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0,0.17
array12_monoSi,2015,2015-01-01 00:00:00,2015-12-31 23:55:00,105120,105120,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.08
array12_monoSi,2016,2016-01-01 00:00:00,2016-12-31 23:55:00,105408,105408,100.0,0.0,0.0,0.0,0.0,0.0,19.52,0,0.08
array12_monoSi,2017,2017-01-01 00:00:00,2017-12-31 23:55:00,104614,105120,99.52,0.1,0.1,0.1,0.1,0.1,100.0,0,40.83
array12_monoSi,2018,2018-01-01 00:00:00,2018-12-31 23:55:00,105120,105120,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0,0.08
array12_monoSi,2019,2019-01-01 00:00:00,2019-12-31 23:55:00,102905,105120,97.89,0.0,0.0,0.0,0.0,0.0,100.0,0,175.33
array12_monoSi,2020,2020-01-01 00:00:00,2020-12-31 23:55:00,105381,105408,99.97,0.01,0.01,0.01,0.01,0.01,100.0,0,1.17
array12_monoSi,2021,2021-01-01 00:00:00,2021-12-31 23:55:00,100541,105120,95.64,0.0,0.01,0.01,0.01,0.01,100.0,0,336.33
array12_monoSi,2022,2022-01-01 00:00:00,2022-12-31 23:55:00,102901,105120,97.89,0.01,0.01,0.01,0.01,0.01,100.0,0,115.5
array12_monoSi,2023,2023-01-01 00:00:00,2023-12-31 23:55:00,101807,105120,96.85,3.75,4.16,4.16,4.18,4.18,100.0,0,149.75
array12_monoSi,2024,2024-01-01 00:00:00,2024-12-31 23:55:00,104250,105408,98.9,16.09,16.64,16.64,16.65,16.65,100.0,0,54.42
array12_monoSi,2025,2025-01-01 00:00:00,2025-08-23 04:55:00,67396,105120,64.11,14.27,21.89,21.89,21.91,21.9,100.0,0,0.67
