array,year,n_daylight_hours,n_zero_power_daylight,pct_zero_power_daylight,longest_zero_run_days,longest_zero_run_start,longest_zero_run_end,n_below_1pct_nameplate,pct_below_1pct_nameplate,longest_below_1pct_run_days,longest_below_1pct_run_start,longest_below_1pct_run_end,status
array07,2009,3800,60,1.58,5,2009-03-19,2009-03-23,70,1.84,7,2009-03-19,2009-03-25,FAIL
array07,2010,3799,10,0.26,1,2010-08-26,2010-08-26,39,1.03,1,2010-08-26,2010-08-26,PASS
array07,2011,3801,3,0.08,1,2011-01-01,2011-01-01,33,0.87,1,2011-01-01,2011-01-01,PASS
array07,2012,3813,52,1.36,4,2012-04-21,2012-04-24,96,2.52,9,2012-04-19,2012-04-27,FAIL
array07,2013,3800,116,3.05,3,2013-02-08,2013-02-10,199,5.24,16,2013-02-06,2013-02-21,FAIL
array07,2014,3799,1839,48.41,16,2014-06-24,2014-07-09,2386,62.81,242,2014-02-09,2014-10-08,FAIL
array07,2015,3802,52,1.37,2,2015-12-29,2015-12-30,566,14.89,48,2015-11-14,2015-12-31,FAIL
array11,2009,3800,5,0.13,1,2009-03-24,2009-03-24,154,4.05,3,2009-04-16,2009-04-18,PASS
array11,2010,3799,10,0.26,1,2010-08-26,2010-08-26,35,0.92,1,2010-08-26,2010-08-26,PASS
array11,2011,3801,6,0.16,1,2011-01-01,2011-01-01,25,0.66,1,2011-01-01,2011-01-01,PASS
array11,2012,3813,1,0.03,1,2012-02-27,2012-02-27,12,0.31,1,2012-01-07,2012-01-07,PASS
array11,2013,3800,3,0.08,1,2013-07-02,2013-07-02,13,0.34,2,2013-02-10,2013-02-11,PASS
array11,2014,3799,2,0.05,1,2014-04-06,2014-04-06,12,0.32,1,2014-04-06,2014-04-06,PASS
array11,2015,3802,0,0.0,0,,,9,0.24,1,2015-01-07,2015-01-07,PASS
array12,2009,3800,2,0.05,1,2009-05-30,2009-05-30,5,0.13,1,2009-05-30,2009-05-30,PASS
array12,2010,3799,10,0.26,1,2010-08-26,2010-08-26,30,0.79,1,2010-08-26,2010-08-26,PASS
array12,2011,3801,5,0.13,1,2011-01-01,2011-01-01,23,0.61,1,2011-01-01,2011-01-01,PASS
array12,2012,3813,1,0.03,1,2012-02-27,2012-02-27,12,0.31,1,2012-01-07,2012-01-07,PASS
array12,2013,3800,3,0.08,1,2013-07-02,2013-07-02,11,0.29,1,2013-12-04,2013-12-04,PASS
array12,2014,3799,2,0.05,1,2014-04-06,2014-04-06,10,0.26,1,2014-04-06,2014-04-06,PASS
array12,2015,3802,0,0.0,0,,,8,0.21,1,2015-01-07,2015-01-07,PASS
array17,2009,3800,16,0.42,1,2009-05-30,2009-05-30,2821,74.24,87,2009-04-29,2009-07-24,FAIL
array17,2010,3799,19,0.5,1,2010-08-26,2010-08-26,711,18.72,8,2010-02-23,2010-03-02,FAIL
array17,2011,3801,3,0.08,1,2011-01-01,2011-01-01,8,0.21,1,2011-01-01,2011-01-01,PASS
array17,2012,3813,0,0.0,0,,,4,0.1,1,2012-02-27,2012-02-27,PASS
array17,2013,3800,2,0.05,1,2013-07-02,2013-07-02,10,0.26,1,2013-07-18,2013-07-18,PASS
array17,2014,3799,0,0.0,0,,,6,0.16,1,2014-04-06,2014-04-06,PASS
array17,2015,3802,0,0.0,0,,,40,1.05,5,2015-06-05,2015-06-09,FAIL
