array,horizon,hour,mbe_persistence,mbe_climatology,mbe_convex
array07,1,6,-0.023989952305740636,0.009513405806758753,-0.023654918724615635
array07,1,7,-0.18072869310382178,0.21677393121666647,-0.17675366686061691
array07,1,8,-0.1731363219061931,1.018558623453534,-0.1612193724525958
array07,1,9,-0.13450974689446343,1.9880046740851742,-0.11328460268466697
array07,1,10,-0.008213251301964285,2.696016936338176,0.01882905057443714
array07,1,11,-0.01256856690924086,3.082205794812149,0.018379176707973052
array07,1,12,0.04825207051307333,3.288813973848794,0.08065768954643057
array07,1,13,0.016964105316468817,3.2072046078201586,0.04886651034150576
array07,1,14,0.012391269433823104,2.872532337605492,0.040992680115539824
array07,1,15,0.031319257843372764,2.315449799332406,0.0541605632582631
array07,1,16,0.010606295397015965,1.4737209754727079,0.025237442197772905
array07,1,17,0.0818712604286455,0.4371330009269572,0.08542387783362863
array07,1,18,0.11454320703152654,0.03371714829304348,0.11373494644414171
array07,3,6,-0.023989952305740636,0.009513405806758753,-0.022649817981240657
array07,3,7,-0.06118100319004598,0.21677393121666647,-0.050034033467480615
array07,3,8,-0.24178789366966436,1.018558623453534,-0.19125918112673707
array07,3,9,-0.6849029568571567,1.9880046740851742,-0.5779866516194635
array07,3,10,-0.48683583466046526,2.696016936338176,-0.3595217238205194
array07,3,11,-0.20759926536571296,3.082205794812149,-0.07600706295859833
array07,3,12,0.025569415757237635,3.288813973848794,0.1560991980809
array07,3,13,0.05153188778488331,3.2072046078201586,0.17775879658629445
array07,3,14,0.07012133157121084,2.872532337605492,0.1822177718125822
array07,3,15,0.05541058735252047,2.315449799332406,0.14581215583171594
array07,3,16,0.04033309672244295,1.4737209754727079,0.0976686118724536
array07,3,17,0.10434656800115732,0.4371330009269572,0.11765802531818934
array07,3,18,0.13219747478556695,0.03371714829304348,0.12825826172586602
array07,6,6,-0.023989952305740636,0.009513405806758753,-0.020639616494490694
array07,6,7,-0.06118100319004598,0.21677393121666647,-0.03331357888363262
array07,6,8,-0.24178789366966436,1.018558623453534,-0.11546611231234633
array07,6,9,-0.4858158353359875,1.9880046740851742,-0.23786420186579846
array07,6,10,-0.6085143919779726,2.696016936338176,-0.27729729470260184
array07,6,11,-0.6933468958616362,3.082205794812149,-0.3148923312891186
array07,6,12,-0.9492961577444115,3.288813973848794,-0.525485144585091
array07,6,13,-0.4949296709329199,3.2072046078201586,-0.12471624305761213
array07,6,14,-0.11638871896109211,2.872532337605492,0.18250338669556626
array07,6,15,0.07403185028668065,2.315449799332406,0.29817364519125317
array07,6,16,0.06930145080084225,1.4737209754727079,0.20974340326802882
array07,6,17,0.1394552194158735,0.4371330009269572,0.1692229975669818
array07,6,18,0.1655652345727455,0.03371714829304348,0.1523804259447753
array11,1,6,0.01163967579834375,-0.0264384021095095,0.0028817178795375042
array11,1,7,-0.1564500700666326,-0.05517806786255004,-0.1331575095596936
array11,1,8,-0.620594619514379,-0.1185980063492146,-0.5051353984863911
array11,1,9,-0.26843868687937117,-0.11080703521414732,-0.23218340699636966
array11,1,10,0.010893308183817644,-0.057825401762244426,-0.004911995103776636
array11,1,11,0.002072712481889187,-0.07185299500738816,-0.014930200240644618
array11,1,12,0.041451463417663016,-0.043134943924602716,0.021996589728941907
array11,1,13,0.0011078668204217497,-0.06334567701206846,-0.013716448261051
array11,1,14,-0.004479615967854899,-0.08767837113663096,-0.023615329656673407
array11,1,15,0.03662663435651552,-0.07075505038640603,0.01192884686564356
array11,1,16,0.11907744726296719,-0.06978735307783251,0.07563854318458327
array11,1,17,0.23092015222759607,0.0034205351423909082,0.1785952402979989
array11,1,18,0.027845316364388358,-0.007894472950628357,0.019625164821934514
array11,3,6,0.01163967579834375,-0.0264384021095095,-0.01691888263254619
array11,3,7,-0.07860277007937917,-0.05517806786255004,-0.06051572444120139
array11,3,8,-0.6876632817380031,-0.1185980063492146,-0.260692976168151
array11,3,9,-1.488515092520087,-0.11080703521414732,-0.4552340495406323
array11,3,10,-1.6136241854273614,-0.057825401762244426,-0.44677509767852364
array11,3,11,-0.37097268029099595,-0.07185299500738816,-0.14663291632829012
array11,3,12,0.055377366965184,-0.043134943924602716,-0.01850686620215603
array11,3,13,0.04345477238938074,-0.06334567701206846,-0.03664556466170616
array11,3,14,0.03308343807547392,-0.08767837113663096,-0.05748791883360475
array11,3,15,0.03564932785066611,-0.07075505038640603,-0.044153955827137985
array11,3,16,0.14453558237937156,-0.06978735307783251,-0.016206619213531483
array11,3,17,0.2756434634622265,0.0034205351423909082,0.07147626722234983
array11,3,18,0.03269799108796334,-0.007894472950628357,0.0022536430590195697
array11,6,6,0.01163967579834375,-0.0264384021095095,-0.026057621330430967
array11,6,7,-0.07860277007937917,-0.05517806786255004,-0.054727869836984515
array11,6,8,-0.6876632817380031,-0.1185980063492146,-0.12406247838579844
array11,6,9,-1.3641500740532162,-0.11080703521414732,-0.1229655002649004
array11,6,10,-1.718867053358662,-0.057825401762244426,-0.07385632756437517
array11,6,11,-1.9380121138389361,-0.07185299500738816,-0.08973186545959581
array11,6,12,-2.147257093119617,-0.043134943924602716,-0.06417616541655291
array11,6,13,-1.8055635691759713,-0.06334567701206846,-0.08076785593370751
array11,6,14,-0.3048915056379897,-0.08767837113663096,-0.08985050248164457
array11,6,15,0.07593338343809124,-0.07075505038640603,-0.06928816604816107
array11,6,16,0.17064163752623993,-0.06978735307783251,-0.06738306317179178
array11,6,17,0.30625535435110973,0.0034205351423909082,0.006448883334478094
array11,6,18,0.05469660021655779,-0.007894472950628357,-0.007268562218956498
array12,1,6,0.010088585362234169,-0.015762140711337528,0.004142918365312679
array12,1,7,-0.09404506295551897,-0.0838541784381565,-0.0917011595165256
array12,1,8,-0.6348892375648777,-0.06746990421359757,-0.5043827908940833
array12,1,9,-0.20246817642313628,-0.08633347957142366,-0.17575719614724242
array12,1,10,0.01925063646587815,-0.02518591022408999,0.009030230727185489
array12,1,11,0.0023609130737206386,-0.044470404915479746,-0.008410290063795456
array12,1,12,0.04252132588773151,-0.018385801623534336,0.028512686560140357
array12,1,13,0.00971081897302313,-0.030052490002479296,0.0005652579086575425
array12,1,14,-0.005244763510193918,-0.05811421078230369,-0.017404736382779156
array12,1,15,0.03052051454276754,-0.04462616341688541,0.01323677861204735
array12,1,16,0.08497303107575842,-0.054156811861982936,0.05297316720007789
array12,1,17,0.19865800845012369,-0.004744009615229911,0.15187554429509234
array12,1,18,0.04342609299292957,-0.004829979338161484,0.03232719635677863
array12,3,6,0.010088585362234169,-0.015762140711337528,-0.008523937410737452
array12,3,7,-0.036958873296214695,-0.0838541784381565,-0.07012098209142462
array12,3,8,-0.6777319366451202,-0.06746990421359757,-0.2375683245876892
array12,3,9,-1.380019486106959,-0.08633347957142366,-0.4485655614013736
array12,3,10,-1.539576468277219,-0.02518591022408999,-0.4492152664789662
array12,3,11,-0.2638230387192811,-0.044470404915479746,-0.10588914238054412
array12,3,12,0.06705405103976857,-0.018385801623534336,0.005537357122190456
array12,3,13,0.05366501462647582,-0.030052490002479296,-0.0066115887063718575
array12,3,14,0.04089516269610862,-0.05811421078230369,-0.03039158620834825
array12,3,15,0.03498024603773341,-0.04462616341688541,-0.02233636876959213
array12,3,16,0.1058960661743907,-0.054156811861982936,-0.009342006011798307
array12,3,17,0.22080567155371314,-0.004744009615229911,0.05840990111207414
array12,3,18,0.04826575279370628,-0.004829979338161484,0.010036825658761492
array12,6,6,0.010088585362234169,-0.015762140711337528,-0.014728111668394661
array12,6,7,-0.036958873296214695,-0.0838541784381565,-0.0811750183564946
array12,6,8,-0.6777319366451202,-0.06746990421359757,-0.0908471205685455
array12,6,9,-1.2880779471644368,-0.08633347957142366,-0.13385293898045947
array12,6,10,-1.6148176180759957,-0.02518591022408999,-0.08805816601782011
array12,6,11,-1.8206994153629168,-0.044470404915479746,-0.11461443671321646
array12,6,12,-1.9804005644242146,-0.018385801623534336,-0.09686639213556167
array12,6,13,-1.7085813053218584,-0.030052490002479296,-0.09719364261525457
array12,6,14,-0.1993052675528758,-0.05811421078230369,-0.06376185305312668
array12,6,15,0.08386954049198547,-0.04462616341688541,-0.03948633526053066
array12,6,16,0.13699025145501345,-0.054156811861982936,-0.046510929329303126
array12,6,17,0.2539599149651386,-0.004744009615229911,0.005604147367984807
array12,6,18,0.06953395774095733,-0.004829979338161484,-0.001855421854996734
