model,array,horizon,n_seeds,mean_skill_vs_convex,std_skill_vs_convex,mean_skill_vs_persistence,std_skill_vs_persistence,mean_rmse_daylight,std_rmse_daylight
cnn_lstm,array11,1,5,0.7452211801462618,0.004403114648642232,0.7622769426480325,0.004108355147996033,0.1016515937341787,0.0017567536488540785
cnn_lstm,array11,3,5,0.7908193694695379,0.0013742327244066412,0.8649176659503265,0.0008874366783843059,0.12842936034428074,0.0008437293133315267
cnn_lstm,array11,6,5,0.8016162806642847,0.0011415935786873105,0.9160375370696536,0.0004831596506659146,0.12948752032847521,0.0007451323234694377
cnn_lstm,array12,1,5,0.8111404961718636,0.0019419342806363394,0.8241702207423044,0.0018079570737830864,0.07281291135969066,0.0007486935302498223
cnn_lstm,array12,3,5,0.8610248536535475,0.009001627035437922,0.9071183241035947,0.0060160843634700974,0.08299495839137062,0.005375706958410949
cnn_lstm,array12,6,5,0.8704119917876078,0.004009974571643984,0.942522903330163,0.001778572718860038,0.08337930002427708,0.0025800911481781005
cnn_lstm,array17,1,5,0.7842850713105752,0.01623857345820772,0.7951891720867422,0.015417735315362191,0.10387921163197386,0.007819812096988217
cnn_lstm,array17,3,5,0.8081392872344789,0.0065322539650155475,0.8462139334247969,0.005235931987690073,0.138540809120817,0.004716878909972183
cnn_lstm,array17,6,5,0.829171305075887,0.012222902807026285,0.8805561176532076,0.008546286474103661,0.13885796996421185,0.009935376908472567
cnn_lstm_residual,array11,1,5,0.7313231582219074,0.004296885533633519,0.7493093016765464,0.004009237371980887,0.1071966232589022,0.0017143703814858921
cnn_lstm_residual,array11,3,5,0.7751461935976366,0.001726572667973537,0.8547964172793644,0.001114966836579439,0.1380521248740901,0.001060053326990385
cnn_lstm_residual,array11,6,5,0.7899797811659839,0.003919404712272301,0.9111125908037169,0.0016588199574295447,0.1370828082401242,0.0025582441898724328
cnn_lstm_residual,array12,1,5,0.7951945073224082,0.007268135403026897,0.8093243716184134,0.006766694911431154,0.07896072944193341,0.0028021576257682922
cnn_lstm_residual,array12,3,5,0.8479476329566528,0.0050535904725637635,0.8983783860187895,0.003377481259963504,0.09080458058747098,0.003017967903065745
cnn_lstm_residual,array12,6,5,0.8567113133981697,0.0033436920072175166,0.9364461433961618,0.0014830516448560177,0.0921945676538002,0.0021513927322783467
cnn_lstm_residual,array17,1,5,0.7732821010061414,0.006431206257710073,0.7847423871968534,0.0061061173935668045,0.1091777780676804,0.003096997690203389
cnn_lstm_residual,array17,3,5,0.8227748101937364,0.012680614608446591,0.857945045416057,0.01016415405884759,0.12797263618194205,0.009156552077185607
cnn_lstm_residual,array17,6,5,0.8261285356382919,0.014831673812238563,0.8784286050893847,0.010370346168259362,0.14133128270222275,0.01205591436294527
lstm,array11,1,5,0.7319734315199602,0.0031547880486850715,0.749916043463859,0.0029435957850083793,0.1069371773711012,0.00125869659505637
lstm,array11,3,5,0.7925501948047039,0.0015804918923162567,0.8660353790268844,0.0010206324228933523,0.12736669603306155,0.0009703650010268884
lstm,array11,6,5,0.8043046509658079,0.0016400367506333618,0.9171753430979935,0.0006941170643465905,0.12773278760527296,0.0010704723794784513
lstm,array12,1,5,0.8089280271289412,0.005330123318210804,0.8221103935398273,0.004962389434794596,0.07366590688834014,0.0020549762592740727
lstm,array12,3,5,0.863791209272578,0.0024975663501440298,0.9089671708418485,0.001669206000945967,0.08134291070131237,0.0014915286708397878
lstm,array12,6,5,0.8721515344761167,0.0059620145852129465,0.9432944551477113,0.002644374995714243,0.08226004637009245,0.003836069476697522
lstm,array17,1,5,0.7845739179466715,0.01169918707189595,0.7954634179121853,0.011107808832076295,0.10374011527446848,0.005633835067174531
lstm,array17,3,5,0.8069895780668739,0.009937395601189678,0.8452923833688065,0.007965325258519115,0.13937100325508084,0.007175699533781124
lstm,array17,6,5,0.8254607473197799,0.006737079485517173,0.8779616857033625,0.004710584072462614,0.1418740939103491,0.00547622974736198
lstm_residual,array11,1,5,0.7210097843792421,0.007865190843485616,0.7396863402274759,0.007338668163403301,0.11131145073351394,0.0031380519963266898
lstm_residual,array11,3,5,0.7768973250756549,0.0034166089535169085,0.8559272434303263,0.0022063396156981334,0.13697699332376298,0.0020976746333251743
lstm_residual,array11,6,5,0.7890310887221905,0.0030001934913378337,0.9107110732073584,0.0012697797765049287,0.1377020315943012,0.0019582635964272197
lstm_residual,array12,1,5,0.7925291027835397,0.008425847222859505,0.806842857677086,0.00784453430843833,0.07998834976546744,0.0032485019526825856
lstm_residual,array12,3,5,0.8507853291789567,0.005531502196715386,0.9002749120361496,0.0036968854342831225,0.08910992880196147,0.003303373349316033
lstm_residual,array12,6,5,0.8534891989066284,0.00425484984076539,0.9350170158968946,0.0018871839994059592,0.09426773518379625,0.0027376483852577494
lstm_residual,array17,1,5,0.7750641004349241,0.02309424877582917,0.7864343089408299,0.02192686542627864,0.10831964230065104,0.01112121618397485
lstm_residual,array17,3,5,0.8117676061933143,0.0103840426734551,0.8491222146091865,0.008323335480627343,0.1359208342595759,0.007498219167379704
lstm_residual,array17,6,5,0.8299875874482566,0.00950996291682052,0.8811268644805506,0.006649391615756754,0.13819445548150053,0.00773016585797397
xgboost,array11,1,5,0.7118057071082889,0.004575592315853422,0.7304265399292164,0.004279953777299023,0.11463380262027362,0.0018200136482351213
xgboost,array11,3,5,0.7826438228120862,0.0016640094982168158,0.8579950167300665,0.0010871448146192017,0.1344279108833041,0.0010291371675251416
xgboost,array11,6,5,0.7949692906586702,0.002089583841106331,0.9116771749307249,0.0009001478298471316,0.1359163341642651,0.001385200180619004
xgboost,array12,1,5,0.7949488234174602,0.0019965237871241923,0.80858833337958,0.0018637198377006786,0.07884562969936956,0.0007676970102251985
xgboost,array12,3,5,0.8502715246587386,0.003945513889754388,0.8988422194562932,0.0026656214008875115,0.09008982381723991,0.002373968280825033
xgboost,array12,6,5,0.8614590358706447,0.0007887871796468243,0.937498751455233,0.000355852753543688,0.0906333232959044,0.0005160235740661075
xgboost,array17,1,5,0.7404292614609302,0.0018930241606571715,0.7531735779670725,0.0018000810993823236,0.1246619696265409,0.0009091476248299476
xgboost,array17,3,5,0.8008773106746641,0.00350988898186189,0.8392951892323604,0.0028327060394607233,0.1445783931437182,0.0025484494551061953
xgboost,array17,6,5,0.8202863099350165,0.0035226333100095036,0.8729171534317188,0.002490997031391319,0.14824771009617674,0.0029058572083662127
