array,horizon,config_id,config_description,n_samples,rmse,nrmse,mae,mbe,skill,reference_used,hours_included
array11,1,C1,"daylight only, skill vs convex reference (correct protocol, CLAUDE.md rule 4)",3770,0.11329483022682725,2.265896604536545,0.052595691772289115,0.004533801891752411,0.7151719410925967,convex_reference,daylight
array11,1,C2,"daylight only, skill vs smart persistence",3770,0.11329483022682725,2.265896604536545,0.052595691772289115,0.004533801891752411,0.7335752745327107,smart_persistence,daylight
array11,1,C3,"convex-covered hours only, skill vs convex reference (NOT a 24h cycle - the convex reference has no prediction at always-night cells)",4250,0.10685160204105604,2.1370320408211207,0.04807015251741562,0.0036516793314966805,0.7173268005577393,convex_reference,convex_covered
array11,1,C4,"all 24 hours, skill vs smart persistence (model + persistence only, true 24h cycle)",8682,0.07476738227493404,1.4953476454986807,0.023781798866741935,0.0018660990765258457,0.7366669751662888,smart_persistence,all_24h
array11,1,C5,"daylight only, raw nRMSE, no skill score",3770,0.11329483022682725,2.265896604536545,0.052595691772289115,0.004533801891752411,,none,daylight
array11,1,C6,"all 24 hours, raw nRMSE, no skill score",8682,0.07476738227493404,1.4953476454986807,0.023781798866741935,0.0018660990765258457,,none,all_24h
array11,3,C1,"daylight only, skill vs convex reference (correct protocol, CLAUDE.md rule 4)",3758,0.13327475233872813,2.6654950467745624,0.05743791323702279,0.00825334748078381,0.784508362187084,convex_reference,daylight
array11,3,C2,"daylight only, skill vs smart persistence",3758,0.13327475233872813,2.6654950467745624,0.05743791323702279,0.00825334748078381,0.8592131734265003,smart_persistence,daylight
array11,3,C3,"convex-covered hours only, skill vs convex reference (NOT a 24h cycle - the convex reference has no prediction at always-night cells)",4239,0.12559968341928737,2.5119936683857476,0.05227572874907676,0.007122953994352145,0.7844492294274334,convex_reference,convex_covered
array11,3,C4,"all 24 hours, skill vs smart persistence (model + persistence only, true 24h cycle)",8669,0.0878358886852778,1.756717773705556,0.025850978395267715,0.00362266370783186,0.8595737103104149,smart_persistence,all_24h
array11,3,C5,"daylight only, raw nRMSE, no skill score",3758,0.13327475233872813,2.6654950467745624,0.05743791323702279,0.00825334748078381,,none,daylight
array11,3,C6,"all 24 hours, raw nRMSE, no skill score",8669,0.0878358886852778,1.756717773705556,0.025850978395267715,0.00362266370783186,,none,all_24h
array11,6,C1,"daylight only, skill vs convex reference (correct protocol, CLAUDE.md rule 4)",3751,0.13556372817941822,2.7112745635883644,0.060176164579911415,0.006456498362618114,0.7955011991716218,convex_reference,daylight
array11,6,C2,"daylight only, skill vs smart persistence",3751,0.13556372817941822,2.7112745635883644,0.060176164579911415,0.006456498362618114,0.9119063096915283,smart_persistence,daylight
array11,6,C3,"convex-covered hours only, skill vs convex reference (NOT a 24h cycle - the convex reference has no prediction at always-night cells)",4232,0.12775307262424615,2.555061452484923,0.054814245175509105,0.00554985106109619,0.7953366030355281,convex_reference,convex_covered
array11,6,C4,"all 24 hours, skill vs smart persistence (model + persistence only, true 24h cycle)",8663,0.08929829537614715,1.785965907522943,0.027085612935461557,0.002844090581242149,0.9119254583521723,smart_persistence,all_24h
array11,6,C5,"daylight only, raw nRMSE, no skill score",3751,0.13556372817941822,2.7112745635883644,0.060176164579911415,0.006456498362618114,,none,daylight
array11,6,C6,"all 24 hours, raw nRMSE, no skill score",8663,0.08929829537614715,1.785965907522943,0.027085612935461557,0.002844090581242149,,none,all_24h
array12,1,C1,"daylight only, skill vs convex reference (correct protocol, CLAUDE.md rule 4)",3770,0.07966919182587133,1.5621410161935556,0.05194294632510414,-0.000348059332831548,0.7928070131018866,convex_reference,daylight
array12,1,C2,"daylight only, skill vs smart persistence",3770,0.07966919182587133,1.5621410161935556,0.05194294632510414,-0.000348059332831548,0.8065889911230691,smart_persistence,daylight
array12,1,C3,"convex-covered hours only, skill vs convex reference (NOT a 24h cycle - the convex reference has no prediction at always-night cells)",4250,0.0753317581590703,1.4770932972366726,0.04777322818445372,9.316728207355182e-05,0.7940531555290855,convex_reference,convex_covered
array12,1,C4,"all 24 hours, skill vs smart persistence (model + persistence only, true 24h cycle)",8682,0.052725308337929946,1.0338295752535285,0.02371784491985939,0.00016650461190558603,0.8084755241211036,smart_persistence,all_24h
array12,1,C5,"daylight only, raw nRMSE, no skill score",3770,0.07966919182587133,1.5621410161935556,0.05194294632510414,-0.000348059332831548,,none,daylight
array12,1,C6,"all 24 hours, raw nRMSE, no skill score",8682,0.052725308337929946,1.0338295752535285,0.02371784491985939,0.00016650461190558603,,none,all_24h
array12,3,C1,"daylight only, skill vs convex reference (correct protocol, CLAUDE.md rule 4)",3758,0.08992057757295031,1.763148579861771,0.05719102851271709,-0.0002557956650228608,0.8505528103915881,convex_reference,daylight
array12,3,C2,"daylight only, skill vs smart persistence",3758,0.08992057757295031,1.763148579861771,0.05719102851271709,-0.0002557956650228608,0.8990322583942362,smart_persistence,daylight
array12,3,C3,"convex-covered hours only, skill vs convex reference (NOT a 24h cycle - the convex reference has no prediction at always-night cells)",4239,0.08500367207328528,1.6667386681036331,0.05255368365407949,0.0002154971739657944,0.8501153179358925,convex_reference,convex_covered
array12,3,C4,"all 24 hours, skill vs smart persistence (model + persistence only, true 24h cycle)",8669,0.05945660001543672,1.1658156865771907,0.025988117695788855,0.00017459037454094957,0.8990016396150609,smart_persistence,all_24h
array12,3,C5,"daylight only, raw nRMSE, no skill score",3758,0.08992057757295031,1.763148579861771,0.05719102851271709,-0.0002557956650228608,,none,daylight
array12,3,C6,"all 24 hours, raw nRMSE, no skill score",8669,0.05945660001543672,1.1658156865771907,0.025988117695788855,0.00017459037454094957,,none,all_24h
array12,6,C1,"daylight only, skill vs convex reference (correct protocol, CLAUDE.md rule 4)",3751,0.09030004870968499,1.7705891903859803,0.05739968070719903,0.0010032123783721618,0.8619684752337352,convex_reference,daylight
array12,6,C2,"daylight only, skill vs smart persistence",3751,0.09030004870968499,1.7705891903859803,0.05739968070719903,0.0010032123783721618,0.9377285794808361,smart_persistence,daylight
array12,6,C3,"convex-covered hours only, skill vs convex reference (NOT a 24h cycle - the convex reference has no prediction at always-night cells)",4232,0.08530884228782165,1.6727223978004246,0.05272015691376928,0.0013438726791069901,0.8615335408097543,convex_reference,convex_covered
array12,6,C4,"all 24 hours, skill vs smart persistence (model + persistence only, true 24h cycle)",8663,0.05964121186789848,1.1694355268215388,0.02615035119265971,0.0008600109645210305,0.9375845131071628,smart_persistence,all_24h
array12,6,C5,"daylight only, raw nRMSE, no skill score",3751,0.09030004870968499,1.7705891903859803,0.05739968070719903,0.0010032123783721618,,none,daylight
array12,6,C6,"all 24 hours, raw nRMSE, no skill score",8663,0.05964121186789848,1.1694355268215388,0.02615035119265971,0.0008600109645210305,,none,all_24h
array17,1,C1,"daylight only, skill vs convex reference (correct protocol, CLAUDE.md rule 4)",3770,0.12560172735446004,1.9936782119755563,0.08778441776775044,0.06333725525444127,0.7384725010454278,convex_reference,daylight
array17,1,C2,"daylight only, skill vs smart persistence",3770,0.12560172735446004,1.9936782119755563,0.08778441776775044,0.06333725525444127,0.751312889913972,smart_persistence,daylight
array17,1,C3,"convex-covered hours only, skill vs convex reference (NOT a 24h cycle - the convex reference has no prediction at always-night cells)",4250,0.11942664950206329,1.8956611032073538,0.08190247539928494,0.058409861865271605,0.7374322331133109,convex_reference,convex_covered
array17,1,C4,"all 24 hours, skill vs smart persistence (model + persistence only, true 24h cycle)",8682,0.08358176378089699,1.326694663188841,0.04050396693497601,0.028874880692954293,0.7504671481698542,smart_persistence,all_24h
array17,1,C5,"daylight only, raw nRMSE, no skill score",3770,0.12560172735446004,1.9936782119755563,0.08778441776775044,0.06333725525444127,,none,daylight
array17,1,C6,"all 24 hours, raw nRMSE, no skill score",8682,0.08358176378089699,1.326694663188841,0.04050396693497601,0.028874880692954293,,none,all_24h
array17,3,C1,"daylight only, skill vs convex reference (correct protocol, CLAUDE.md rule 4)",3758,0.14704070837850128,2.333979498071449,0.10230736879898994,0.057317607314041424,0.797486051297273,convex_reference,daylight
array17,3,C2,"daylight only, skill vs smart persistence",3758,0.14704070837850128,2.333979498071449,0.10230736879898994,0.057317607314041424,0.8365582249097403,smart_persistence,daylight
array17,3,C3,"convex-covered hours only, skill vs convex reference (NOT a 24h cycle - the convex reference has no prediction at always-night cells)",4239,0.1412063245373633,2.2413702307517984,0.0979308792263252,0.055246444661601,0.7938421246483853,convex_reference,convex_covered
array17,3,C4,"all 24 hours, skill vs smart persistence (model + persistence only, true 24h cycle)",8669,0.10096703513341294,1.602651351324015,0.0628381927134206,0.04196619846727159,0.8299411441553759,smart_persistence,all_24h
array17,3,C5,"daylight only, raw nRMSE, no skill score",3758,0.14704070837850128,2.333979498071449,0.10230736879898994,0.057317607314041424,,none,daylight
array17,3,C6,"all 24 hours, raw nRMSE, no skill score",8669,0.10096703513341294,1.602651351324015,0.0628381927134206,0.04196619846727159,,none,all_24h
array17,6,C1,"daylight only, skill vs convex reference (correct protocol, CLAUDE.md rule 4)",3751,0.149709154502478,2.3763357857536187,0.10528240698637807,0.06362081734266532,0.8185146699757158,convex_reference,daylight
array17,6,C2,"daylight only, skill vs smart persistence",3751,0.149709154502478,2.3763357857536187,0.10528240698637807,0.06362081734266532,0.8716643548884323,smart_persistence,daylight
array17,6,C3,"convex-covered hours only, skill vs convex reference (NOT a 24h cycle - the convex reference has no prediction at always-night cells)",4232,0.14385913379975415,2.283478314281812,0.10058079689413889,0.06082147956123833,0.8150085431280856,convex_reference,convex_covered
