array,horizon,model_1,model_2,dbar,dm_stat,hln_stat,p_raw,p_holm,n,better_model
array11,1,xgboost,lstm,-0.0013461083857324709,-0.6571964921431959,-0.6571074592237135,0.5111528043239665,1.0,3691,xgboost
array11,1,xgboost,cnn_lstm,0.0005473185080597286,0.2885941407903906,0.2885550438396198,0.7729381100945643,1.0,3691,cnn_lstm
array11,1,xgboost,lstm_residual,-0.006705382731460173,-3.3081693892544446,-3.307721218909063,0.0009495966415917801,0.006850656653374695,3691,xgboost
array11,1,xgboost,cnn_lstm_residual,-0.008742464449241519,-3.8189217075922097,-3.818404343679033,0.00013652406706749968,0.001228716603607497,3691,xgboost
array11,1,xgboost,smart_persistence,-0.0813408643334912,-15.918336683892337,-15.916180166008854,3.2362007064450285e-55,6.472401412890057e-54,3691,xgboost
array11,1,xgboost,convex_reference,-0.057522356573080885,-16.367778657294757,-16.36556125179013,3.601603864687996e-58,7.563368115844792e-57,3691,xgboost
array11,1,lstm,cnn_lstm,0.0018934268937921988,1.6360594468642486,1.6358378036407342,0.1019588232342229,0.4078352929368916,3691,cnn_lstm
array11,1,lstm,lstm_residual,-0.005359274345727703,-2.4642594664144934,-2.4639256237703533,0.013787745510334022,0.0689387275516701,3691,lstm
array11,1,lstm,cnn_lstm_residual,-0.0073963560635090485,-2.822201881313648,-2.8218195468431118,0.004800749142693782,0.028804494856162693,3691,lstm
array11,1,lstm,smart_persistence,-0.07999475594775873,-15.069620435682026,-15.067578896631042,7.811147606083729e-50,1.2497836169733966e-48,3691,lstm
array11,1,lstm,convex_reference,-0.056176248187348406,-15.68480850218306,-15.682683621254501,1.0390521930306884e-53,1.974199166758308e-52,3691,lstm
array11,1,cnn_lstm,lstm_residual,-0.007252701239519902,-3.337104344120566,-3.3366522538463084,0.0008563320816718368,0.006850656653374695,3691,cnn_lstm
array11,1,cnn_lstm,cnn_lstm_residual,-0.009289782957301247,-4.338539346576216,-4.337951588076387,1.4766505901098463e-05,0.00014766505901098463,3691,cnn_lstm
array11,1,cnn_lstm,smart_persistence,-0.08188818284155093,-15.16274742917583,-15.160693273855266,2.0637107296379098e-50,3.508308240384447e-49,3691,cnn_lstm
array11,1,cnn_lstm,convex_reference,-0.058069675081140616,-15.479143933693008,-15.477046914929245,2.1255810851779206e-52,3.8260459533202573e-51,3691,cnn_lstm
array11,1,lstm_residual,cnn_lstm_residual,-0.0020370817177813453,-1.410051935053336,-1.4098609099308645,0.1586650351587649,0.4759951054762947,3691,lstm_residual
array11,1,lstm_residual,smart_persistence,-0.07463548160203101,-13.578846995284273,-13.577007417006472,5.21444932199521e-41,7.821673982992815e-40,3691,lstm_residual
array11,1,lstm_residual,convex_reference,-0.050816973841620705,-12.423504695599007,-12.421821635956306,9.756339462193501e-35,1.2683241300851552e-33,3691,lstm_residual
array11,1,cnn_lstm_residual,smart_persistence,-0.0725983998842497,-12.641665044040138,-12.639952429381594,6.974235402146687e-36,9.763929563005362e-35,3691,cnn_lstm_residual
array11,1,cnn_lstm_residual,convex_reference,-0.04877989212383937,-11.070571053445079,-11.0690712808915,4.872726679884708e-28,5.847272015861649e-27,3691,cnn_lstm_residual
array11,1,smart_persistence,convex_reference,0.023818507760410317,8.171907670656351,8.170800591105019,4.1655319054082327e-16,4.582085095949056e-15,3691,convex_reference
array11,3,xgboost,lstm,0.003154340186482313,0.6725514579329267,0.6720951753076507,0.5015652543591519,1.0,3685,lstm
array11,3,xgboost,cnn_lstm,-0.003035328462128511,-0.6663580047410337,-0.6659059239728031,0.5055129262918583,1.0,3685,xgboost
array11,3,xgboost,lstm_residual,-0.010554000429284184,-2.266960094577114,-2.2654221089090303,0.023544604610679178,0.11772302305339588,3685,xgboost
array11,3,xgboost,cnn_lstm_residual,-0.022398124672858146,-4.171561985599398,-4.1687318508463775,3.133432727570064e-05,0.00025067461820560514,3685,xgboost
array11,3,xgboost,smart_persistence,-0.7044346492381158,-19.987795841690563,-19.97423541616096,2.318860341752363e-84,4.6377206835047265e-83,3685,xgboost
array11,3,xgboost,convex_reference,-0.1781065297505547,-13.921125191233376,-13.911680609002339,6.435145173870487e-43,9.65271776080573e-42,3685,xgboost
array11,3,lstm,cnn_lstm,-0.006189668648610825,-1.695349139474942,-1.6941989548355443,0.09031200845448391,0.36124803381793563,3685,lstm
array11,3,lstm,lstm_residual,-0.013708340615766498,-3.4480122921638676,-3.445673039037441,0.0005760056331914621,0.004032039432340235,3685,lstm
array11,3,lstm,cnn_lstm_residual,-0.025552464859340464,-4.260728622240602,-4.257837993696996,2.115623548618237e-05,0.00019040611937564135,3685,lstm
array11,3,lstm,smart_persistence,-0.707588989424598,-20.144053286192456,-20.130386850102386,1.3683593837409216e-85,2.8735547058559352e-84,3685,lstm
array11,3,lstm,convex_reference,-0.18126086993703702,-13.04749060208336,-13.038638724364622,5.058995626291851e-38,6.576694314179406e-37,3685,lstm
array11,3,cnn_lstm,lstm_residual,-0.007518671967155675,-1.4953669399365423,-1.4943524302732933,0.13516917225410774,0.4055075167623232,3685,cnn_lstm
array11,3,cnn_lstm,cnn_lstm_residual,-0.019362796210729637,-4.499730259769563,-4.496677484087131,7.114930405330698e-06,7.114930405330698e-05,3685,cnn_lstm
array11,3,cnn_lstm,smart_persistence,-0.7013993207759872,-19.7883498847983,-19.774924770438922,8.373841197179586e-83,1.5910298274641213e-81,3685,cnn_lstm
array11,3,cnn_lstm,convex_reference,-0.1750712012884262,-13.27337401181776,-13.26436888682852,2.921208621837385e-39,4.089692070572339e-38,3685,cnn_lstm
array11,3,lstm_residual,cnn_lstm_residual,-0.011844124243573964,-2.5134646513622108,-2.5117594283103024,0.012055529739009458,0.07233317843405675,3685,lstm_residual
array11,3,lstm_residual,smart_persistence,-0.6938806488088316,-19.450415840633156,-19.437219992645925,3.415453109331559e-80,6.147815596796806e-79,3685,lstm_residual
array11,3,lstm_residual,convex_reference,-0.16755252932127052,-11.927299749541096,-11.919207848798065,3.641461904091147e-32,4.369754284909376e-31,3685,lstm_residual
array11,3,cnn_lstm_residual,smart_persistence,-0.6820365245652575,-18.982470360556572,-18.96959198328421,1.2248457038990018e-76,2.0822376966283032e-75,3685,cnn_lstm_residual
array11,3,cnn_lstm_residual,convex_reference,-0.15570840507769654,-11.629420988827741,-11.62153117954009,1.091983027781213e-30,1.2011813305593342e-29,3685,cnn_lstm_residual
array11,3,smart_persistence,convex_reference,0.526328119487561,14.845727391519429,14.835655526551426,2.0946878222134374e-48,3.3515005155415e-47,3685,convex_reference
array11,6,xgboost,lstm,0.01583115984143844,2.5671907968565177,2.5633528961395347,0.010406082694334441,0.0728425788603411,3679,lstm
array11,6,xgboost,cnn_lstm,0.012011445585299697,1.8059542539820128,1.8032543872114233,0.07143008105742088,0.3571504052871044,3679,cnn_lstm
array11,6,xgboost,lstm_residual,-0.007746609082567343,-0.94199464922199,-0.9405863853936567,0.34697863057661554,1.0,3679,xgboost
array11,6,xgboost,cnn_lstm_residual,-0.013774902195710322,-1.4677674911027632,-1.4655732070186331,0.1428500741227843,0.5714002964911372,3679,xgboost
array11,6,xgboost,smart_persistence,-2.097386547127829,-23.542970759589664,-23.507774472477394,5.809551870556842e-114,1.1038148554058e-112,3679,xgboost
array11,6,xgboost,convex_reference,-0.14565432672353162,-8.043011750140735,-8.030987602734019,1.28977944524928e-15,1.805691223348992e-14,3679,xgboost
array11,6,lstm,cnn_lstm,-0.0038197142561387405,-0.6743043393049187,-0.6732962673258309,0.5008011306127574,1.0,3679,lstm
array11,6,lstm,lstm_residual,-0.02357776892400578,-3.4563930927718083,-3.451225851776255,0.0005643312391598972,0.005643312391598972,3679,lstm
array11,6,lstm,cnn_lstm_residual,-0.029606062037148755,-3.1839366509535405,-3.1791767270824804,0.001489199654776213,0.013402796892985916,3679,lstm
array11,6,lstm,smart_persistence,-2.1132177069692673,-23.633800231860146,-23.598468156439047,9.048511371105065e-115,1.809702274221013e-113,3679,lstm
array11,6,lstm,convex_reference,-0.16148548656497005,-8.92032643956335,-8.906990723620444,8.079924899504614e-19,1.2119887349256921e-17,3679,lstm
array11,6,cnn_lstm,lstm_residual,-0.019758054667867044,-2.150374510076066,-2.147159741666913,0.03184574584943758,0.19107447509662545,3679,cnn_lstm
array11,6,cnn_lstm,cnn_lstm_residual,-0.025786347781010018,-3.0307948591855274,-3.026263879338864,0.002493105039767369,0.01994484031813895,3679,cnn_lstm
array11,6,cnn_lstm,smart_persistence,-2.109397992713129,-23.686348388242276,-23.650937754341104,3.0784330350664435e-115,6.464709373639531e-114,3679,cnn_lstm
array11,6,cnn_lstm,convex_reference,-0.1576657723088313,-7.692502647706542,-7.681002504646207,2.010641129550355e-14,2.6138334684154614e-13,3679,cnn_lstm
array11,6,lstm_residual,cnn_lstm_residual,-0.0060282931131429756,-0.9152388998174517,-0.9138706353183264,0.3608447278671951,1.0,3679,lstm_residual
array11,6,lstm_residual,smart_persistence,-2.089639938045262,-23.239011849560733,-23.20426997515521,2.818156720091866e-111,5.072682096165359e-110,3679,lstm_residual
array11,6,lstm_residual,convex_reference,-0.13790771764096427,-7.488458120279493,-7.477263019851387,9.435493924698623e-14,1.1322592709638347e-12,3679,lstm_residual
array11,6,cnn_lstm_residual,smart_persistence,-2.0836116449321187,-23.192278697440795,-23.15760668819615,7.254632645263476e-111,1.233287549694791e-109,3679,cnn_lstm_residual
array11,6,cnn_lstm_residual,convex_reference,-0.13187942452782128,-6.267728454875513,-6.258358321747786,4.3375889598779313e-10,4.771347855865724e-09,3679,cnn_lstm_residual
array11,6,smart_persistence,convex_reference,1.9517322204042977,20.883986390081724,20.852765233306737,2.288800486106083e-91,3.662080777769733e-90,3679,convex_reference
array12,1,xgboost,lstm,-0.00015424496889375396,-0.09138346917949788,-0.09137108911181532,0.927202692767954,1.0,3691,xgboost
array12,1,xgboost,cnn_lstm,0.0007460098655355208,0.42833456853020924,0.4282765404098413,0.6684747926299265,1.0,3691,cnn_lstm
array12,1,xgboost,lstm_residual,-0.0060320792521732945,-3.116045906484722,-3.115623763841522,0.0018496601012839772,0.018496601012839772,3691,xgboost
array12,1,xgboost,cnn_lstm_residual,-0.00536023781504821,-2.6558570299190527,-2.655497230821023,0.007953202371415101,0.04771921422849061,3691,xgboost
array12,1,xgboost,smart_persistence,-0.07429106307339174,-17.65203435487759,-17.64964296634736,5.394481296696926e-67,9.710066334054466e-66,3691,xgboost
array12,1,xgboost,convex_reference,-0.05127009364300306,-16.502491913523468,-16.500256257899373,4.544394052001536e-59,7.271030483202458e-58,3691,xgboost
array12,1,lstm,cnn_lstm,0.0009002548344292746,0.9081426649276558,0.9080196353714552,0.36392714396443465,1.0,3691,cnn_lstm
array12,1,lstm,lstm_residual,-0.005877834283279541,-2.8906452542656043,-2.8902536475098595,0.0038717730825348568,0.027102411577744,3691,lstm
array12,1,lstm,cnn_lstm_residual,-0.005205992846154456,-2.35022184727458,-2.349903453742363,0.018830687749521006,0.09415343874760504,3691,lstm
array12,1,lstm,smart_persistence,-0.074136818104498,-17.76461929872742,-17.762212657884742,8.542627099573176e-68,1.6230991489189035e-66,3691,lstm
array12,1,lstm,convex_reference,-0.0511158486741093,-17.16819807827934,-17.165872236897904,1.3267136496838689e-63,2.255413204462577e-62,3691,lstm
array12,1,cnn_lstm,lstm_residual,-0.006778089117708815,-2.9612561023775306,-2.960854929700437,0.003087411105729797,0.024699288845838375,3691,cnn_lstm
array12,1,cnn_lstm,cnn_lstm_residual,-0.00610624768058373,-3.0252325155113517,-3.0248226757051615,0.0025049290894771526,0.02254436180529437,3691,cnn_lstm
array12,1,cnn_lstm,smart_persistence,-0.07503707293892727,-17.84031610770719,-17.83789921192861,2.4608007698633903e-68,4.9216015397267803e-67,3691,cnn_lstm
array12,1,cnn_lstm,convex_reference,-0.05201610350853859,-18.341362273438357,-18.338877499021557,5.823174204804678e-72,1.2228665830089823e-70,3691,cnn_lstm
array12,1,lstm_residual,cnn_lstm_residual,0.0006718414371250847,0.48723727358706753,0.48717126569221925,0.6261659044063715,1.0,3691,cnn_lstm_residual
array12,1,lstm_residual,smart_persistence,-0.06825898382121845,-14.488441523306223,-14.48647871878278,2.6885736181613254e-46,3.764003065425855e-45,3691,lstm_residual
array12,1,lstm_residual,convex_reference,-0.04523801439082977,-12.028722803985518,-12.02709322695386,1.039006920354646e-32,1.2468083044255752e-31,3691,lstm_residual
array12,1,cnn_lstm_residual,smart_persistence,-0.06893082525834354,-14.601284634842834,-14.599306543031977,5.654412985426483e-47,8.481619478139723e-46,3691,cnn_lstm_residual
array12,1,cnn_lstm_residual,convex_reference,-0.04590985582795485,-12.769818800966698,-12.768088824829116,1.4521556967761495e-36,1.8878024058089944e-35,3691,cnn_lstm_residual
array12,1,smart_persistence,convex_reference,0.023020969430388685,8.91992297451512,8.918714558472928,7.275037999910517e-19,8.002541799901569e-18,3691,convex_reference
array12,3,xgboost,lstm,0.0025263745560405765,0.536812763448262,0.5364485707398845,0.5916809614559109,1.0,3685,lstm
