array,horizon,model_1,model_2,dbar,dm_stat,hln_stat,p_raw,p_holm,n,better_model
array11,1,xgboost,lstm,0.0012154827352401363,2.041902283936227,2.0416254345981044,0.041259735400095865,0.271308009108837,3688,lstm
array11,1,xgboost,cnn_lstm,0.002615913636879261,2.0677632917542903,2.0674829360765385,0.03875828701554815,0.271308009108837,3688,cnn_lstm
array11,1,xgboost,lstm_residual,-0.0006430180748239181,-0.8330500822190264,-0.8329371339326664,0.4049341362865962,0.8098682725731924,3688,xgboost
array11,1,xgboost,cnn_lstm_residual,0.00186421169677363,1.3092453449176853,1.3090678321591014,0.19059295329561177,0.5717788598868353,3688,cnn_lstm_residual
array11,1,xgboost,smart_persistence,-0.16982697879767653,-20.5325306752632,-20.52974679203228,9.006091862045998e-89,1.0807310234455197e-87,3688,xgboost
array11,1,xgboost,convex_reference,-0.1461657030478276,-21.79553169732286,-21.792576571324965,3.833878148601671e-99,6.517592852622841e-98,3688,xgboost
array11,1,lstm,cnn_lstm,0.0014004309016391245,1.6820191441434589,1.6817910892113357,0.09269404254578202,0.3796001076566036,3688,cnn_lstm
array11,1,lstm,lstm_residual,-0.001858500810064055,-2.998012353633647,-2.997605871040275,0.002739244993141223,0.021913959945129784,3688,lstm
array11,1,lstm,cnn_lstm_residual,0.0006487289615334933,0.5982016396686367,0.5981205330802809,0.5497962481127504,0.8098682725731924,3688,cnn_lstm_residual
array11,1,lstm,smart_persistence,-0.17104246153291666,-20.971927713654186,-20.96908425520255,2.519517189011107e-92,3.275372345714439e-91,3688,lstm
array11,1,lstm,convex_reference,-0.14738118578306772,-22.35805430088764,-22.35502290580885,6.478337168650925e-104,1.1661006903571665e-102,3688,lstm
array11,1,cnn_lstm,lstm_residual,-0.003258931711703179,-4.2790190551582015,-4.278438888515286,1.92987552228562e-05,0.00019298755222856202,3688,cnn_lstm
array11,1,cnn_lstm,cnn_lstm_residual,-0.0007517019401056307,-1.7756063018119987,-1.7753655579559926,0.07592002153132073,0.3796001076566036,3688,cnn_lstm
array11,1,cnn_lstm,smart_persistence,-0.1724428924345558,-21.675697489104564,-21.67275861071141,3.874536032537618e-98,5.811804048806427e-97,3688,cnn_lstm
array11,1,cnn_lstm,convex_reference,-0.14878161668470682,-23.30915246151046,-23.30599211271124,3.4270038258302466e-112,6.854007651660493e-111,3688,cnn_lstm
array11,1,lstm_residual,cnn_lstm_residual,0.0025072297715975486,3.2620260845192184,3.2615838058805484,0.0011180018331092797,0.010062016497983517,3688,cnn_lstm_residual
array11,1,lstm_residual,smart_persistence,-0.1691839607228526,-21.10710850202046,-21.104246715212916,1.978399631064093e-93,2.7697594834897303e-92,3688,lstm_residual
array11,1,lstm_residual,convex_reference,-0.14552268497300366,-22.560697197808697,-22.557638327589526,1.1742185429468386e-105,2.2310152315989934e-104,3688,lstm_residual
array11,1,cnn_lstm_residual,smart_persistence,-0.17169119049445017,-21.73262092189817,-21.729674325596662,1.2928737169476208e-98,2.0685979471161932e-97,3688,cnn_lstm_residual
array11,1,cnn_lstm_residual,convex_reference,-0.14802991474460123,-23.394561946904247,-23.3913900179429,6.013551897529953e-113,1.26284589848129e-111,3688,cnn_lstm_residual
array11,1,smart_persistence,convex_reference,0.023661275749848942,8.136019744264555,8.13491662992903,5.577090127646019e-16,6.1347991404106214e-15,3688,convex_reference
array11,3,xgboost,lstm,0.0019322741320591413,1.7031214516023852,1.7019647383442518,0.08884644166490571,0.4442322083245286,3681,lstm
array11,3,xgboost,cnn_lstm,0.001264223898216441,1.109881955224916,1.109128153920045,0.26744737675808034,0.7994130512045345,3681,cnn_lstm
array11,3,xgboost,lstm_residual,-0.0006530782356074763,-1.283071423930865,-1.282199997101148,0.19985326280113364,0.7994130512045345,3681,xgboost
array11,3,xgboost,cnn_lstm_residual,-0.0006979815514582881,-1.154566993582005,-1.1537828434278143,0.24866413655071012,0.7994130512045345,3681,xgboost
array11,3,xgboost,smart_persistence,-0.8858966890838904,-25.368435536121428,-25.35120599227702,8.050538227136892e-131,1.5296022631560097e-129,3681,xgboost
array11,3,xgboost,convex_reference,-0.3589251996766732,-21.16283682885146,-21.148463612005056,8.775602859822089e-94,1.2285844003750924e-92,3681,xgboost
array11,3,lstm,cnn_lstm,-0.0006680502338427001,-5.05968781692742,-5.056251416091561,4.484259780835503e-07,4.484259780835503e-06,3681,lstm
array11,3,lstm,lstm_residual,-0.0025853523676666176,-3.1039911705372085,-3.1018830250865648,0.0019375086935726593,0.014844745026202692,3681,lstm
array11,3,lstm,cnn_lstm_residual,-0.002630255683517429,-4.063898478709433,-4.06113839061025,4.985116365924151e-05,0.00044866047293317356,3681,lstm
array11,3,lstm,smart_persistence,-0.8878289632159494,-25.428316966881173,-25.41104675321559,2.2060033283961608e-131,4.632606989631938e-130,3681,lstm
array11,3,lstm,convex_reference,-0.36085747380873234,-21.313924564770343,-21.299448733288255,5.0189947418875326e-95,8.030391587020052e-94,3681,lstm
array11,3,cnn_lstm,lstm_residual,-0.0019173021338239173,-2.296362937780088,-2.2948033112172745,0.021800428853325095,0.13080257311995058,3681,cnn_lstm
array11,3,cnn_lstm,cnn_lstm_residual,-0.0019622054496747287,-3.116799627889553,-3.1146827832868778,0.0018555931282753365,0.014844745026202692,3681,cnn_lstm
array11,3,cnn_lstm,smart_persistence,-0.8871609129821069,-25.410974457801302,-25.39371602269101,3.2101694473889317e-131,6.4203388947778634e-130,3681,cnn_lstm
