array,horizon,sky_class,n,model,rmse,nrmse,skill_vs_convex
array11,1,clear,2229,xgboost,0.17235800583591487,3.4471601167182975,0.3613733353410441
array11,1,clear,2229,lstm,0.17186573291186916,3.4373146582373835,0.3631973214916179
array11,1,clear,2229,lstm_residual,0.1862144926001657,3.7242898520033143,0.3100318157915034
array11,1,partly_cloudy,1223,xgboost,0.4738592551605535,9.47718510321107,0.14013675716668217
array11,1,partly_cloudy,1223,lstm,0.47547826186419156,9.509565237283832,0.1371989136209495
array11,1,partly_cloudy,1223,lstm_residual,0.48055137632898176,9.611027526579635,0.1279932589725432
array11,1,overcast,239,xgboost,0.3799856976273424,7.599713952546848,0.1996727302781134
array11,1,overcast,239,lstm,0.3986140507725283,7.972281015450567,0.16043762457494293
array11,1,overcast,239,lstm_residual,0.4110010278139016,8.220020556278032,0.13434812810828278
array11,3,clear,2225,xgboost,0.27217747811013304,5.44354956220266,0.43124323014271804
array11,3,clear,2225,lstm,0.27386179838649155,5.477235967729831,0.42772358345321804
array11,3,clear,2225,lstm_residual,0.2984362275789972,5.968724551579944,0.3763715279280344
array11,3,partly_cloudy,1221,xgboost,0.5831135257241712,11.662270514483424,0.056305658860370866
array11,3,partly_cloudy,1221,lstm,0.5838360997894357,11.676721995788714,0.055136265549527
array11,3,partly_cloudy,1221,lstm_residual,0.5913695956795576,11.827391913591153,0.04294427012003055
array11,3,overcast,239,xgboost,0.8090651767462236,16.181303534924474,0.387513726476296
array11,3,overcast,239,lstm,0.7701179617443514,15.40235923488703,0.4169979204154767
array11,3,overcast,239,lstm_residual,0.7926428799068851,15.852857598137703,0.3999458910075616
array11,6,clear,2218,xgboost,0.3493871276190675,6.98774255238135,0.24624785262509308
array11,6,clear,2218,lstm,0.32064198427117646,6.4128396854235294,0.3082613379893716
array11,6,clear,2218,lstm_residual,0.3578744170863293,7.1574883417265855,0.2279377542968114
array11,6,partly_cloudy,1225,xgboost,0.5853530343199999,11.707060686399997,0.03518469100104249
array11,6,partly_cloudy,1225,lstm,0.5731796636285957,11.463593272571915,0.05524959835875365
array11,6,partly_cloudy,1225,lstm_residual,0.5843294034417804,11.686588068835608,0.03687190313485755
array11,6,overcast,236,xgboost,1.2132183041597873,24.264366083195746,0.26684823320988915
